ZIP Code,Territory,TNT,UDS Zone
60472,Griffith,1 Day ,5
60406,Griffith,1 Day ,5
60426,Griffith,1 Day ,5
60476,Griffith,1 Day ,5
46321,Griffith,1 Day ,5
60425,Griffith,1 Day ,5
60469,Griffith,1 Day ,5
60445,Griffith,1 Day ,5
60452,Griffith,1 Day ,5
60428,Griffith,1 Day ,5
60430,Griffith,1 Day ,5
60422,Griffith,1 Day ,5
60411,Griffith,1 Day ,5
46373,Griffith,1 Day ,5
46307,Griffith,1 Day ,5
46341,Griffith,1 Day ,5
46366,Griffith,1 Day ,5
46383,Griffith,1 Day ,5
46385,Griffith,1 Day ,5
46347,Griffith,1 Day ,5
46929,Griffith,1 Day ,5
46996,Griffith,1 Day ,5
46392,Griffith,1 Day ,5
47926,Griffith,1 Day ,5
47950,Griffith,1 Day ,5
47959,Griffith,1 Day ,5
46310,Griffith,1 Day ,5
46311,Griffith,1 Day ,5
60429,Griffith,1 Day ,5
60462,Griffith,1 Day ,5
60439,Griffith,1 Day ,5
60467,Griffith,1 Day ,5
60487,Griffith,1 Day ,5
60477,Griffith,1 Day ,5
60461,Griffith,1 Day ,5
60475,Griffith,1 Day ,5
60466,Griffith,1 Day ,5
60478,Griffith,1 Day ,5
60443,Griffith,1 Day ,5
60471,Griffith,1 Day ,5
60484,Griffith,1 Day ,5
60417,Griffith,1 Day ,5
60449,Griffith,1 Day ,5
60401,Griffith,1 Day ,5
46303,Griffith,1 Day ,5
46356,Griffith,1 Day ,5
47946,Griffith,1 Day ,5
47960,Griffith,1 Day ,5
46923,Griffith,1 Day ,5
46349,Griffith,1 Day ,5
47923,Griffith,1 Day ,5
60423,Griffith,1 Day ,5
60448,Griffith,1 Day ,5
60440,Griffith,1 Day ,5
60451,Griffith,1 Day ,5
60441,Griffith,1 Day ,5
60491,Griffith,1 Day ,5
47978,Griffith,1 Day ,5
47995,Griffith,1 Day ,5
47977,Griffith,1 Day ,5
60468,Griffith,1 Day ,5
60585,Griffith,1 Day ,5
60403,Griffith,1 Day ,5
60490,Griffith,1 Day ,5
60446,Griffith,1 Day ,5
